Country name,Region,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Turkmenistan,Asia,2017,5.229,9.525,0.908,61.9,0.72,0.063,
Turkmenistan,Asia,2018,4.621,9.569,0.984,62,0.858,0.257,
Turkmenistan,Asia,2019,5.474,9.615,0.982,62.1,0.892,0.282,
Uzbekistan,Asia,2014,6.049,8.712,0.952,63.26,0.954,0.052,0.536
Uzbekistan,Asia,2015,5.972,8.764,0.968,63.5,0.98,0.366,0.471
Uzbekistan,Asia,2016,5.893,8.804,0.945,63.8,0.984,0.199,
Uzbekistan,Asia,2017,6.421,8.831,0.942,64.1,0.985,0.114,0.465
Uzbekistan,Asia,2018,6.205,8.87,0.921,64.4,0.97,0.308,0.52
Uzbekistan,Asia,2019,6.154,8.91,0.915,64.7,0.97,0.295,0.511
Uzbekistan,Asia,2020,5.842,8.91,0.85,65,0.928,0.19,0.642
Uzbekistan,Asia,2021,6.185,8.962,0.896,65.3,0.927,0.183,0.662
Uzbekistan,Asia,2022,6.016,8.996,0.879,65.6,0.959,0.306,0.616
Uzbekistan,Asia,2023,6.385,9.026,0.909,65.9,0.927,0.247,0.65
Vietnam,Asia,2014,5.085,8.941,0.792,64.82,,-0.022,
Vietnam,Asia,2015,5.076,8.999,0.849,64.9,,0.064,
Vietnam,Asia,2016,5.062,9.053,0.876,65,0.894,-0.112,0.799
Vietnam,Asia,2017,5.175,9.111,,65.1,,,
Vietnam,Asia,2018,5.296,9.173,0.832,65.2,0.909,-0.063,0.808
Vietnam,Asia,2019,5.467,9.235,0.848,65.3,0.952,-0.148,0.788
Vietnam,Asia,2020,5.462,9.254,0.765,65.4,0.945,0.063,0.791
Vietnam,Asia,2021,5.54,9.271,0.799,65.5,0.897,0.104,0.798
Vietnam,Asia,2022,6.267,9.341,0.879,65.6,0.975,-0.182,0.703
Vietnam,Asia,2023,6.325,9.392,0.845,65.7,0.956,-0.159,0.655
,,,,,,,,,
Albania,Europe,2014,4.814,9.358,0.626,68.72,0.735,-0.029,0.883
Albania,Europe,2015,4.607,9.382,0.639,69,0.704,-0.085,0.885
Albania,Europe,2016,4.511,9.417,0.638,69.025,0.73,-0.021,0.901
Albania,Europe,2017,4.64,9.455,0.638,69.05,0.75,-0.033,0.876
Albania,Europe,2018,5.004,9.497,0.684,69.075,0.824,0.005,0.899
Albania,Europe,2019,4.995,9.522,0.686,69.1,0.777,-0.103,0.914
Albania,Europe,2020,5.365,9.494,0.71,69.125,0.754,0.002,0.891
Albania,Europe,2021,5.255,9.588,0.702,69.15,0.827,0.039,0.896
Albania,Europe,2022,5.212,9.649,0.724,69.175,0.802,-0.07,0.846
Albania,Europe,2023,5.445,9.689,0.691,69.2,0.872,0.068,0.855
Austria,Europe,2014,6.95,10.877,0.899,70.3,0.885,0.112,0.567
Austria,Europe,2015,7.076,10.876,0.928,70.4,0.9,0.093,0.557
Austria,Europe,2016,7.048,10.885,0.926,70.525,0.889,0.074,0.524
Austria,Europe,2017,7.294,10.9,0.906,70.65,0.89,0.128,0.518
Austria,Europe,2018,7.396,10.919,0.912,70.775,0.904,0.048,0.523
Austria,Europe,2019,7.195,10.93,0.964,70.9,0.903,0.054,0.457
Austria,Europe,2020,7.213,10.859,0.925,71.025,0.912,0.004,0.464
Austria,Europe,2021,7.08,10.899,0.863,71.15,0.795,0.158,0.501
Austria,Europe,2022,6.999,10.938,0.876,71.275,0.856,0.137,0.524
Austria,Europe,2023,6.636,10.93,0.874,71.4,0.874,0.209,0.529
Azerbaijan,Europe,2014,5.252,9.607,0.799,62.82,0.733,-0.214,0.654
Azerbaijan,Europe,2015,5.147,9.606,0.786,63.1,0.764,-0.203,0.616
Azerbaijan,Europe,2016,5.304,9.563,0.777,63.225,0.713,-0.21,0.607
Azerbaijan,Europe,2017,5.152,9.555,0.787,63.35,0.731,-0.231,0.653
Azerbaijan,Europe,2018,5.168,9.562,0.781,63.475,0.772,-0.237,0.561
Azerbaijan,Europe,2019,5.173,9.578,0.887,63.6,0.854,-0.22,0.457
Azerbaijan,Europe,2022,4.576,9.619,0.665,63.975,0.8,0.075,0.696
Azerbaijan,Europe,2023,5.214,9.637,0.713,64.1,0.829,-0.16,0.627
Belarus,Europe,2014,5.812,9.858,0.88,64.54,0.647,-0.054,0.682
Belarus,Europe,2015,5.719,9.818,0.924,65.1,0.623,-0.097,0.669
Belarus,Europe,2016,5.178,9.792,0.927,65.325,0.658,-0.131,0.664
Belarus,Europe,2017,5.553,9.818,0.9,65.55,0.621,-0.128,0.654
Belarus,Europe,2018,5.234,9.851,0.905,65.775,0.644,-0.181,0.718
Belarus,Europe,2019,5.821,9.867,0.917,66,0.657,-0.192,0.546
Belgium,Europe,2014,6.855,10.794,0.944,69.84,0.861,-0.005,0.512
Belgium,Europe,2015,6.904,10.809,0.885,70,0.869,0.056,0.469
Belgium,Europe,2016,6.949,10.816,0.929,70.15,0.866,-0.062,0.497
Belgium,Europe,2017,6.928,10.829,0.922,70.3,0.857,0.049,0.543
Belgium,Europe,2018,6.892,10.842,0.93,70.45,0.808,-0.13,0.63
Belgium,Europe,2019,6.772,10.859,0.884,70.6,0.776,-0.178,0.672
Belgium,Europe,2020,6.839,10.799,0.904,70.75,0.767,-0.172,0.634
Belgium,Europe,2021,6.882,10.856,0.915,70.9,0.823,0.077,0.523
Belgium,Europe,2022,6.857,10.881,0.923,71.05,0.89,0.095,0.483
Belgium,Europe,2023,6.944,10.883,0.896,71.2,0.87,0.065,0.522
Bosnia and Herzegovina,Europe,2014,5.249,9.373,0.788,67,0.412,0.229,0.976
Bosnia and Herzegovina,Europe,2015,5.117,9.428,0.656,67,0.631,-0.058,0.96
Bosnia and Herzegovina,Europe,2016,5.181,9.473,0.808,67.05,0.633,0.13,0.957
Bosnia and Herzegovina,Europe,2017,5.09,9.517,0.775,67.1,0.564,0.087,0.923
Bosnia and Herzegovina,Europe,2018,5.887,9.566,0.836,67.15,0.659,0.118,0.913
Bosnia and Herzegovina,Europe,2019,6.016,9.606,0.873,67.2,0.722,0.074,0.963
Bosnia and Herzegovina,Europe,2020,5.516,9.588,0.899,67.25,0.74,0.132,0.916
Bosnia and Herzegovina,Europe,2021,5.749,9.674,0.86,67.3,0.759,0.274,0.921
Bosnia and Herzegovina,Europe,2022,5.872,9.723,0.856,67.35,0.743,0.191,0.933
Bosnia and Herzegovina,Europe,2023,6.009,9.759,0.879,67.4,0.847,0.241,0.948
Bulgaria,Europe,2014,4.438,9.863,0.886,65.76,0.576,-0.062,0.955
Bulgaria,Europe,2015,4.865,9.903,0.908,65.9,0.637,-0.207,0.941
Bulgaria,Europe,2016,4.838,9.94,0.926,66,0.7,-0.177,0.936
Bulgaria,Europe,2017,5.097,9.974,0.942,66.1,0.689,-0.16,0.911
Bulgaria,Europe,2018,5.099,10.008,0.924,66.2,0.724,-0.182,0.952
Bulgaria,Europe,2019,5.108,10.055,0.948,66.3,0.822,-0.115,0.943
Bulgaria,Europe,2020,5.598,10.02,0.916,66.4,0.818,-0.012,0.901
Bulgaria,Europe,2021,5.422,10.102,0.884,66.5,0.841,-0.018,0.891
Bulgaria,Europe,2022,5.378,10.197,0.953,66.6,0.741,-0.152,0.942
Bulgaria,Europe,2023,5.59,10.273,0.935,66.7,0.754,-0.131,0.948
Croatia,Europe,2014,5.381,10.091,0.646,67.78,0.519,0.125,0.918
